screen_name,date,tweet,likes,retweets
chrisnelder,2020-09-14 03:32:28,"@BSmithwood That is a surprisingly difficult question to answer, because IEA/EIA/BP etc. use different definitions. But at the start of 2020, more or less, the world was consuming about 100 mb/d. Plus or minus.",0,1
chrisnelder,2020-09-14 00:43:44,@RRapier @ramez https://t.co/K8d0nGnqJU,4,0
chrisnelder,2020-09-13 23:25:43,"I’m already on record saying that the world is unlikely to ever get back to 100 mb/d, so it’s nice to see an oil major allowing such a possibility in their scenarios. But 👍🏽 for saying that all of their scenarios are bound to be wrong, and nobody knows. https://t.co/MHOt5YMBbg",21,5
chrisnelder,2020-09-13 23:08:33,@JoelNWeberII @croselund @TommyVitolo @RockyMtnInst That’s a mighty big “if.” Has anyone anywhere attempted to use DC power brought in from an offshore supply like this since that 2015 analysis? Just because there’s a technically more efficient option doesn’t mean that option has a prayer of being implemented.,2,0
chrisnelder,2020-09-12 20:57:48,"On weekends I like to curl up with a #longread... today's was @AdamSerwer's magisterial ""The New Reconstruction."" Highly recommended. https://t.co/AaqAnCeXht",7,1
chrisnelder,2020-09-12 17:32:56,Hey #energytwitter ... any hard-core FF data geeks out there want to sink their teeth into an interesting project? https://t.co/eLoiZ9xBC7,9,1
chrisnelder,2020-09-12 17:26:53,"@AriPeskoe @TKavulla I can HIGHLY recommend this one. It's become a bit of a new staple in my repertoire https://t.co/lgeb1PZfl4
Pictured here: https://t.co/leRPCXcWmH",1,0
chrisnelder,2020-09-12 01:23:13,Now this is an interesting RFP! https://t.co/DBM7Um5N9o,10,1
chrisnelder,2020-09-12 00:52:45,@Sammy_Roth It’s just that stock photos of PV are so borrrrring.,3,0
chrisnelder,2020-09-11 23:17:31,@DrChrisClack 👏,2,0
chrisnelder,2020-09-11 21:56:57,@maoxian @stevenplace It's a way of life,0,0
chrisnelder,2020-09-11 21:55:35,D'oh!/yay https://t.co/H22EAUA5gL,1,0
chrisnelder,2020-09-11 04:08:46,@mikekruger @inciweb 😆,2,0
chrisnelder,2020-09-11 00:52:13,Oof. https://t.co/45Qf9804zu,3,3
chrisnelder,2020-09-10 23:53:04,@larrybrilliant I remember that view! Aw man...makin' me homesick.,0,0
chrisnelder,2020-09-10 22:55:54,@JoelTH @PJCavan That's odd.,0,0
chrisnelder,2020-09-10 22:16:29,"@Stphn_Lacey ""Dog's breakfast"" is very on-brand for 2020.",19,0
chrisnelder,2020-09-10 21:58:56,"Ah, they grow up so fast. Seems like only yesterday that it was 2 million acres burned. But actually it was the day before yesterday. https://t.co/y9KNme23hA",2,0
chrisnelder,2020-09-10 21:39:11,"@Guay_JG @Tomprice @drvox @subaru_usa ""So, how do you like your new Subaru Revolting?"" &lt;snigger&gt;",1,0
chrisnelder,2020-09-10 21:29:10,@Guay_JG @Tomprice @drvox @subaru_usa https://t.co/850ekkLBo4,2,0
chrisnelder,2020-09-10 21:25:22,"@PJCavan Anyway LinkedIn has never, ever, done anything useful for me, but it has consumed a lot of my time over the years, so I'm not super excited about connecting with anyone there anyway.",1,0
chrisnelder,2020-09-10 21:24:17,@PJCavan Well then I have to wonder why LinkedIn makes it so difficult to follow their own advice.,0,0
chrisnelder,2020-09-10 21:19:25,"@PJCavan Unless they bother to take the 10 seconds to write a single line of text about why they want to connect with me, no. I don't accept generic requests. LinkedIn says you should only accept requests from people you actually know but I take it 99% of people ignore that.",8,0
chrisnelder,2020-09-10 20:24:31,"""I wonder whether or not somebody like that can write good.""

Yes, Mr. Gaslight, yes he can. https://t.co/sC8xCMrpQA",5,0
chrisnelder,2020-09-10 16:55:31,@BenPaulos @eroston Or just blame it on nuke retirement...,1,0
chrisnelder,2020-09-10 00:17:08,"@BenPaulos @eroston 12 whole watts, huh? Dayum. Bet you could get more than that under a full moon!",2,0
chrisnelder,2020-09-09 23:54:10,@joshdr83 Armagettin real tired of it.,22,1
chrisnelder,2020-09-09 22:52:14,"@jgkoomey Oh, that is perfect. They should do a campaign event together... at a Waffle House.",1,1
chrisnelder,2020-09-09 20:22:10,@DavidFore @SamTRicketts Thank you,2,0
chrisnelder,2020-09-09 20:10:16,@SamTRicketts Where is this?,3,0
chrisnelder,2020-09-09 17:49:53,@Ed_Crooks @bjlefebvre And unfollowed.,4,0
chrisnelder,2020-09-09 16:58:40,"@Morgan_03 I was so down with that until the Dark Side soundtrack started up. No, no, no. That music should never be appropriated for any other use. But based on the trailer, I suspect the movie will not be disappointing!",1,0
chrisnelder,2020-09-09 16:28:52,California (and most of the West Coast) is in sepiatone today. https://t.co/sIXgNktOXE,13,2
chrisnelder,2020-09-09 15:49:21,"@gabawawa @CFTCbehnam Already on it, thanks!",1,0
chrisnelder,2020-09-09 01:42:33,Bring. It. https://t.co/3Ex4qhPX36,14,0
chrisnelder,2020-09-09 00:52:00,"@JohnRHumphrey Wouldja believe... 260,000 cases nationally? https://t.co/uvD1hKeTup",0,0
chrisnelder,2020-09-08 21:54:42,"@shaylekann Very helpful data, thanks. I count zero pre-revenue SPACs in this group that I would want to invest in, but I'm old-skool like that.",5,0
chrisnelder,2020-09-08 01:53:55,@jwomack @alexqgb @alexqgb Bumper crop of memberberries this year.,2,0
chrisnelder,2020-09-07 23:38:02,@bethhartman Those tomatoes look amazing! I'm jealous!,1,0
chrisnelder,2020-09-07 23:37:16,"@ericmbudd Oof. Hurry up, snow!",4,0
chrisnelder,2020-09-07 22:08:22,"@PathfinderEq @mattocko Nice try, but incorrect. Your priors are at least two years out of date. https://t.co/PV7YWngQ9D",1,0
chrisnelder,2020-09-07 19:13:42,"@GernotWagner 'If you want to get laid, go to college. If you want an education, go to the library.' - Frank Zappa",0,0
